full_name,name,neo,pha,epoch_cal,equinox,e,a,q,i,w,H,ma,ad,n,moid,t_jup,om,per,per_y,class,producer,first_obs,last_obs,diameter,albedo
"413577 (2005 UL5)",,Y,Y,20200531.0000000,J2000,.5697145772805307,.9362817525970827,.4028683897007613,14.31761421498695,127.7460578588039,20.3,296.9256095604433,1.469695115493404,1.087913171359749,.00558533,6.233,58.90924817284613,330.9087613582683,0.905978812753644,ATE,"Otto Matic",2005-10-27,2015-11-21,,
"413712 (2005 YM237)",,N,N,20200531.0000000,J2000,.006383305332520226,5.127276256232016,5.094547286364306,2.754600211705502,155.9690664560763,14.2,203.2576826340861,5.160005226099726,.08489341363775643,4.08875,2.998,203.8847484195967,4240.611663186667,11.6101619799772,TJN,"Otto Matic",2001-08-16,2019-04-04,,
"413820 (2006 QR89)",,Y,N,20200531.0000000,J2000,.3672973325085716,1.888778087992801,1.195034934572405,9.239493269936251,263.7797675857186,19.5,53.06103384595779,2.582521241413197,.379693069627573,.271042,3.861,166.3717264893449,948.1342399878689,2.59585007525768,AMO,"Otto Matic",2002-01-10,2019-10-30,0.659,0.049
"413989 (2007 EL88)",,Y,Y,20200531.0000000,J2000,.521936499715652,1.11962517689239,.5352519310716581,30.84108754805551,116.1424765878047,19.0,344.553478792859,1.703998422713122,.8319459083314882,.0353062,5.327,198.4590933176982,432.7204405897003,1.18472399887666,APO,"Otto Matic",2007-03-14,2016-01-13,,
"414249 (2008 GC32)",,N,N,20200531.0000000,J2000,.03184521264361831,5.234085298289401,5.067404738970539,17.91593273731947,187.6827422995785,13.7,324.6028230071369,5.400765857608263,.08230815751161412,4.05377,2.902,66.84461765307141,4373.807054898562,11.974831088018,TJN,"Otto Matic",2001-10-15,2019-04-03,,
"414256 (2008 GJ77)",,N,N,20200531.0000000,J2000,.03726558125498838,5.189816390938768,4.996414866523769,10.82683375306487,284.2058833018672,13.7,215.9299811116221,5.383217915353768,.08336352759985786,4.01862,2.963,90.93822571166521,4318.435296164384,11.8232314747827,TJN,"Otto Matic",2001-09-21,2020-01-24,,
"414275 (2008 JO21)",,N,N,20200531.0000000,J2000,.0558966519881646,5.303865036780825,5.007396738627693,23.38731326006654,213.5935017345986,13.8,297.3945053788483,5.600333334933956,.08068919399345038,4.01087,2.831,66.06799138829655,4461.563961454634,12.2150964037088,TJN,"Otto Matic",2002-11-07,2019-05-29,,
"414286 (2008 OC6)",,Y,Y,20200531.0000000,J2000,.1992433297356981,.9229627979107118,.7390686168328053,21.8447074867638,295.8527966719525,18.6,33.41721799997034,1.106856978988618,1.111546868895142,.0296789,6.404,177.6017160329532,323.8729828440195,0.88671590101032,ATE,"Otto Matic",2008-07-29,2015-07-07,0.369,0.471
"414287 (2008 OB9)",,Y,Y,20200531.0000000,J2000,.7586639581609073,3.206210110765253,.7737740574365652,13.4949376611235,238.5907471424325,17.7,347.8955052030535,5.638646164093941,.1716785770105067,.00966596,2.617,202.6975698039951,2096.941891462486,5.74111400811084,APO,"Otto Matic",2008-07-29,2015-04-21,,
"414429 (2009 DC43)",,Y,N,20200531.0000000,J2000,.4897664822800422,1.800519193840193,.9186852419953844,20.84209316837235,172.8322105965019,17.7,208.4534562639599,2.682353145685001,.4079504728212001,.0940752,3.849,84.2608674281956,882.4600631307119,2.41604397845506,APO,"Otto Matic",1995-12-27,2019-11-02,,
"414468 (2009 KM14)",,N,N,20200531.0000000,J2000,.05263529346085612,5.225526570620607,4.95047944608849,18.30266979016264,234.4063350665052,13.2,192.7514949140795,5.500573695152723,.08251045525155787,3.98182,2.896,145.6443813520347,4363.083428668912,11.9454713995042,TJN,"Otto Matic",2002-09-05,2019-05-04,,
"414502 (2009 SE1)",,N,N,20200531.0000000,J2000,.05468688199552833,5.148391220083378,4.866841756963865,28.03129087973212,60.24548822518398,13.3,301.0574859422754,5.429940683202893,.08437169273892949,3.92222,2.764,228.2042721735279,4266.833914473477,11.6819545913032,TJN,"Otto Matic",1997-06-07,2019-04-26,,
"414532 (2009 SM103)",,Y,N,20200531.0000000,J2000,.5543747958786067,2.84191153150813,1.266427406323252,12.69819620766885,26.21802951539412,16.8,90.56204417216436,4.417395656693008,.205725554953755,.269079,3.031,300.3326918268095,1749.904138457297,4.79097642288103,AMO,"Otto Matic",2009-09-25,2019-12-17,,
"414586 (2009 UV18)",,Y,N,20200531.0000000,J2000,.6326326033267207,3.174583324064531,1.166238411283992,8.341001111782814,62.66678344088112,16.0,300.1733941748057,5.18292823684507,.1742504779553559,.223503,2.836,86.78132136565871,2065.991463691906,5.65637635507709,AMO,"Otto Matic",2004-01-09,2014-11-23,0.996,0.709
"414746 (2010 EH20)",,Y,N,20200531.0000000,J2000,.5221939496348825,2.624283640256647,1.253898601188822,23.85752752910654,207.6659359563592,18.0,106.6389491629088,3.994668679324473,.2318397577375803,.272077,3.091,120.6921107618481,1552.79665365888,4.25132554047606,AMO,"Otto Matic",2010-03-06,2014-04-23,1.800,0.019
"414772 (2010 OC103)",,Y,N,20200531.0000000,J2000,.6719318444211343,1.194552202018326,.3918945376588249,23.1067379156175,178.2889095338189,19.0,326.4741947060691,1.997209866377828,.7549120785183788,.33303,5.009,17.96147761589855,476.8767254413926,1.3056173181147,APO,"Otto Matic",2006-09-22,2019-10-27,1.466,0.019
"414800 (2010 SV3)",,Y,N,20200531.0000000,J2000,.5153145931473193,1.512581683246288,.7331262685421399,6.197003599740975,224.3451466250148,20.8,123.2817353534076,2.292037097950437,.5298169136998163,.0561751,4.359,24.184509094314,679.4800065668888,1.86031487081968,APO,"Otto Matic",2010-09-17,2014-10-21,,
"414903 (2010 XT45)",,Y,N,20200531.0000000,J2000,.2777474478947394,1.605198859840663,1.159358973156373,13.62865866242889,88.93032966806466,17.4,7.900118202705508,2.051038746524952,.484630575023207,.285766,4.279,202.4652022744754,742.83385851741,2.03376826425027,AMO,"Otto Matic",1983-03-08,2018-12-14,,
"414960 (2011 CS4)",,Y,N,20200531.0000000,J2000,.3269497516353472,1.60799196568515,1.082259391872756,7.704186696262133,105.8031619776274,20.0,278.2611178646346,2.133724539497543,.4833684077981907,.157322,4.277,287.5391497266514,744.7735395861912,2.03907882159121,AMO,"Otto Matic",2011-01-16,2019-02-08,,
"414990 (2011 EM51)",,Y,Y,20200531.0000000,J2000,.3349964286358377,1.320613632652159,.8782127821058857,1.864932778794743,142.2003168770116,21.9,327.0442359524284,1.763014483198433,.6494420571705584,.012895,4.889,134.1834401897189,554.3219691813949,1.5176508396479,APO,"Otto Matic",2011-03-10,2017-10-25,,
"415023 (2011 NC2)",,N,N,20200531.0000000,J2000,.08672103511787796,5.152359888350336,4.705541905532761,7.857403677096242,352.3205173368869,13.9,278.5866134619757,5.599177871167911,.08427422901959586,3.68962,2.974,300.4493242042401,4271.768536930679,11.6954648512818,TJN,"Otto Matic",2003-11-23,2019-02-28,,
"415026 (2011 QT85)",,N,N,20200531.0000000,J2000,.05138045844782791,5.163645833991121,4.898335343778441,7.054335627177063,253.3216315257599,13.7,269.809439657496,5.428956324203802,.08399808852500702,3.89488,2.982,72.36852433690974,4285.811812167899,11.7339132434439,TJN,"Otto Matic",2000-09-05,2020-01-24,,
"415027 (2011 SG5)",,Y,N,20200531.0000000,J2000,.3862897902657113,1.30968883978567,.8037694125515207,26.62438483739105,26.56515103319265,18.2,326.7109779045353,1.815608267019819,.6575849782681044,.172733,4.800,229.8096665172265,547.4577611978602,1.49885766241714,APO,"Otto Matic",2011-09-18,2020-02-19,,
"415029 (2011 UL21)",,Y,Y,20200531.0000000,J2000,.6528991292293352,2.122468012609829,.7367104953597539,34.85377162843611,284.7907450182953,15.7,260.2048834570355,3.508225529859904,.318744238395214,.0198862,3.246,275.5540202855477,1129.43217989601,3.09221678274062,APO,"Otto Matic",1989-10-29,2018-08-12,,
"415265 (2012 RB5)",,N,N,20200531.0000000,J2000,.01389671265014806,5.212963129339868,5.140520078675616,21.83266744674677,192.7713549203795,13.6,5.249142015353073,5.285406180004121,.08280891494344372,4.14004,2.856,13.49631277417616,4347.358013878945,11.9024175602435,TJN,"Otto Matic",2001-09-12,2019-04-11,,
"415267 (2013 BQ45)",,Y,N,20200531.0000000,J2000,.4747624309360651,2.347687441937627,1.233093644925247,15.60351391623436,235.4695238631971,18.3,355.3407410049601,3.462281238950007,.2739956441000283,.311505,3.355,339.2006030878954,1313.889500624958,3.59723340349064,AMO,"Otto Matic",2002-02-02,2020-02-27,,
"415444 (2013 SV85)",,N,N,20200531.0000000,J2000,.05395357535453373,5.169981620903707,4.891042627938725,6.110753011560474,333.2173265639306,13.4,158.0107411701902,5.448920613868689,.08384372697828107,3.90619,2.986,92.08730417108698,4293.702259839363,11.7555161118121,TJN,"Otto Matic",2001-10-16,2019-04-24,,
"415449 (2013 TG39)",,N,N,20200531.0000000,J2000,.05311357492909677,5.230659307319244,4.952840292271366,11.14292229278777,201.3386496466815,13.8,185.8146321321458,5.508478322367122,.08238903637131684,3.96414,2.959,204.9410505787934,4369.513418964219,11.9630757534955,TJN,"Otto Matic",2001-11-20,2019-05-11,,
"415454 (2013 TL105)",,N,N,20200531.0000000,J2000,.08702875236928988,5.234321493212672,4.778785024158615,5.696134926349816,52.6788464355352,13.8,166.9485319173021,5.689857962266729,.08230258643148684,3.7938,2.983,1.377674004598404,4374.103118857432,11.9756416669608,TJN,"Otto Matic",2001-09-19,2019-04-25,,
"415710 (1998 WC2)",,Y,N,20200531.0000000,J2000,.5613581812176895,2.553206187674855,1.119943005887947,26.59631331007345,270.2748221281183,18.5,85.99781391916125,3.986469369461762,.2415879349153838,.437583,3.075,208.4394371118179,1490.140640202459,4.07978272471584,AMO,"Otto Matic",1998-10-29,2014-11-21,,
"415711 (1998 WT7)",,Y,N,20200531.0000000,J2000,.1099981947134135,1.151907938714974,1.025200144980277,40.70016080620457,235.9518692713681,19.0,104.6794607369709,1.27861573244967,.797218589244484,.0855131,5.226,248.27122843,451.5700020758025,1.23633128562848,AMO,"Otto Matic",1998-11-23,2019-12-08,,
"415713 (1998 XX2)",,Y,Y,20200531.0000000,J2000,.3672966227031575,.7414279490028893,.4691039673563991,6.97267208164975,153.025810272924,19.9,102.1758938369433,1.013751930649379,1.543834152221664,.0155846,7.715,74.43201523089938,233.185669252063,0.638427568109686,ATE,"Otto Matic",1998-12-08,2020-01-25,,
"415715 (1999 AU23)",,Y,N,20200531.0000000,J2000,.4100617599418508,2.163562073316971,1.276368001789175,20.4424303434655,117.9616127300306,18.0,274.8500182250574,3.050756144844768,.3097062960392288,.404634,3.507,293.5606289655188,1162.391609741123,3.18245478368548,AMO,"Otto Matic",1995-12-19,2017-12-14,,
"415745 (2000 GV147)",,Y,Y,20200531.0000000,J2000,.4566037390367013,1.746404343598552,.9489895904415173,10.56499542215178,216.0601633264955,19.3,231.0234613360864,2.543819096755587,.4270580076317919,.00269385,3.993,68.68728651825633,842.9768171222091,2.30794474229215,APO,"Otto Matic",1993-04-15,2016-04-29,,
"415746 (2000 JN10)",,Y,N,20200531.0000000,J2000,.4295724362314508,2.257293293935577,1.287622314370755,21.4539234842143,254.6109742191907,17.8,299.5123579266952,3.2269642735004,.2906177170569826,.442619,3.412,47.13046634798061,1238.740719752517,3.39148725462701,AMO,"Otto Matic",1983-05-08,2017-06-11,,
